Source,Target,Weight
李商隱,魚玄機,3
白行簡,白居易,1
竇常,趙璜,1
楊巨源,魚玄機,1
歐陽詹,賈島,1
李白,賈至,1
竇庠,馮延巳,1
陳子昂,王無競,1
薛濤,武元衡,1
杜牧,楊嗣復,2
張籍,元結,1
司空圖,李白,1
李德裕,李逢吉,1
白居易,王起,9
元稹,白行簡,1
白居易,楊凝式,2
羅隱,羅紹威,1
陳子昂,李顯,1
王維,孟浩然,2
王勃,駱賓王,1
魚玄機,李紳,1
顏真卿,李益,1
羅隱,杜甫,4
司空圖,杜甫,1
元稹,楊嗣復,1
宋之問,李世民,1
白居易,竇鞏,2
孟浩然,張九齡,1
孫逖,姚崇,1
白居易,孟郊,1
羅隱,王建,3
岑參,高適,1
元稹,賈島,1
姚合,李治,1
張祜,王維,2
張祜,竇常,2
薛據,杜甫,1
張九齡,司空圖,1
曹松,賈島,1
李賀,李世民,1
皇甫冉,李顯,1
高適,蕭穎士,1
白居易,韓愈,3
張祜,李白,2
杜甫,宋璟,1
李隆基,李逢吉,1
元稹,王建,2
呂溫,柳宗元,2
元稹,李顯,3
裴度,劉禹錫,10
賈島,姚合,6
杜甫,陳陶,1
劉禹錫,魚玄機,4
杜荀鶴,李治,2
王維,皇甫冉,1
司空圖,裴度,1
李白,王起,1
陸龜蒙,陳子昂,1
張祜,杜牧,3
竇鞏,羊士諤,1
司空圖,王建,1
武元衡,裴度,1
孟浩然,儲光羲,1
王建,薛濤,1
白居易,錢起,1
權德輿,劉禹錫,1
竇鞏,杜甫,1
李商隱,賀知章,1
裴度,李紳,2
李紳,馬懷素,1
羅隱,高駢,1
宋之問,張籍,2
高適,李華,1
王建,孟郊,1
孟郊,賈島,1
岑參,李白,1
韓愈,李白,1
李白,王建,1
錢起,李德裕,2
韋莊,韋嗣立,1
王維,盧照鄰,1
元稹,張籍,1
孟浩然,駱賓王,1
孟浩然,張旭,1
劉禹錫,牛僧孺,4
白居易,李義府,1
李白,賀知章,2
李商隱,韓熙載,1
孟郊,岑參,1
李白,劉禹錫,2
韓愈,鄭澣,1
元稹,劉禹錫,3
李白,杜甫,3
獨孤及,高適,1
馮延巳,魚玄機,1
賀知章,張說,2
儲光羲,沈傳師,1
張籍,元稹,1
韓愈,沈傳師,2
獨孤及,李逢吉,1
孟郊,王無競,2
白居易,竇常,2
孫逖,張說,1
李逢吉,馮道,1
竇鞏,劉禹錫,1
元稹,白居易,88
白居易,薛存誠,1
丘為,王維,2
羅隱,賀知章,1
楊汝士,裴度,1
陳子昂,楊汝士,1
皮日休,馮延巳,1
高適,李德裕,5
姚合,楊巨源,1
李紓,李世民,1
王維,高適,1
杜甫,薛稷,2
王無競,宋之問,2
秦系,錢起,1
李白,嚴武,1
孟郊,韓愈,12
白居易,沈傳師,1
白居易,元稹,167
元稹,李程,1
高適,王之渙,1
儲光羲,趙冬曦,1
杜甫,姚崇,1
劉禹錫,李紳,2
皇甫冉,包佶,2
楊汝士,白居易,1
杜牧,賈島,1
韓偓,沈彬,1
元稹,孟郊,1
李白,李顯,2
高適,李紓,1
孟郊,劉禹錫,1
蘇味道,李治,1
李紳,白居易,2
劉禹錫,楊汝士,1
白居易,魚玄機,1
陳陶,李逢吉,1
李白,王昌齡,3
王建,鄭絪,1
皮日休,張祜,1
李商隱,牛僧孺,1
張祜,杜甫,1
韋莊,王維,1
權德輿,張繼,1
徐堅,張說,2
盧照鄰,王維,1
陸龜蒙,薛存誠,1
白居易,王維,2
王維,丘為,4
元稹,王維,1
姚合,李紳,1
白居易,李紳,17
王建,鄭畋,1
崔日用,王縉,1
杜牧,張柬之,1
元稹,柳宗元,1
杜甫,鄭澣,7
白居易,李顯,6
皮日休,鄭畋,1
柳宗元,宋之問,1
孟郊,李泌,1
駱賓王,李嶠,1
李商隱,李賀,1
司空圖,陳子昂,2
駱賓王,宋之問,3
武元衡,蘇頲,1
韓愈,李逢吉,5
張九齡,宋之問,1
白居易,楊汝士,16
張九齡,馮延巳,1
錢起,魚玄機,2
陸龜蒙,魚玄機,1
權德輿,張籍,4
孟浩然,宋之問,1
王建,竇常,2
韓偓,楊巨源,1
元稹,姚崇,2
白居易,張旭,1
杜甫,張旭,3
杜荀鶴,陳陶,1
楊巨源,元稹,1
賈島,李益,2
杜荀鶴,賀知章,1
杜甫,陳子昂,2
陸龜蒙,張祜,1
杜荀鶴,羅隱,1
宋之問,陳子昂,1
杜甫,楊汝士,1
張說,韋嗣立,2
權德輿,李紳,1
杜審言,韋承慶,1
王建,司空圖,1
元稹,張祜,1
王建,楊巨源,2
錢起,杜甫,2
皮日休,王昌齡,1
張籍,魚玄機,1
韓愈,韋處厚,1
柳宗元,竇常,1
元稹,李世民,1
權德輿,李逢吉,2
鮑防,張籍,1
劉禹錫,白居易,91
皇甫冉,李逢吉,1
白居易,劉禹錫,94
白居易,李治,2
竇庠,韓愈,1
劉禹錫,柳宗元,5
嚴武,杜甫,2
劉禹錫,張籍,5
皮日休,孟浩然,1
李商隱,賈島,1
趙嘏,張祜,1
劉禹錫,李逢吉,3
皇甫冉,馮道,4
顧況,元稹,1
白居易,牛僧孺,18
張九齡,魚玄機,2
孟郊,賀知章,1
宋之問,李適,1
韋莊,賈島,1
獨孤及,李紓,1
皮日休,獨孤及,1
李白,趙璜,3
李商隱,令狐楚,1
王維,錢起,2
李隆基,賀知章,1
韋莊,杜荀鶴,1
韓愈,張籍,17
白居易,沈彬,2
張九齡,趙冬曦,2
高適,王昌齡,2
張繼,李白,1
韓偓,嚴武,1
韓愈,白居易,1
楊巨源,權德輿,1
孟浩然,鄭澣,1
王昌齡,竇鞏,1
王維,馮道,1
元稹,李隆基,8
白居易,王昌齡,3
張籍,杜牧,1
杜甫,韋嗣立,2
劉禹錫,李白,2
韓愈,權德輿,1
韓愈,李紳,3
陸龜蒙,李白,1
孟浩然,李逢吉,1
李商隱,沈傳師,1
呂溫,李隆基,1
李嶠,宋之問,3
白居易,王涯,1
陸龜蒙,鄭絪,1
羅隱,陸龜蒙,1
宋之問,楊汝士,1
李嶠,韋嗣立,2
李賀,裴度,1
杜甫,岑參,5
白居易,李世民,3
錢起,張籍,1
杜審言,蘇味道,1
岑參,賈至,1
儲光羲,楊嗣復,1
韋莊,嚴武,1
羅隱,宋之問,1
李白,顧況,1
王昌齡,宋之問,2
趙嘏,李白,2
李商隱,王維,1
王昌齡,王維,2
白居易,杜光庭,1
杜甫,李逢吉,3
楊巨源,王維,1
鄭畋,皮日休,2
錢起,白居易,1
白居易,楊嗣復,6
劉禹錫,賀知章,1
獨孤及,賈至,1
顧況,張旭,1
李白,孟浩然,5
張祜,孟浩然,2
錢起,李商隱,1
賈島,張籍,4
高適,張旭,1
張籍,韓愈,5
陸龜蒙,鄭畋,2
李顯,李嶠,1
薛濤,元稹,1
賈島,孟郊,3
劉禹錫,錢起,1
孟浩然,孟郊,1
李白,魚玄機,1
李益,賈島,1
陸龜蒙,李商隱,1
羊士諤,李白,1
姚合,令狐楚,1
劉禹錫,顏真卿,2
陳陶,魚玄機,1
皇甫冉,柳宗元,1
權德輿,和凝,1
孫逖,宋璟,1
賈島,王涯,1
秦系,鮑防,1
劉禹錫,元結,1
李逢吉,張籍,1
杜牧,嚴武,1
韓愈,賈島,2
獨孤及,張旭,1
李白,竇常,4
權德輿,白居易,1
王建,韓愈,1
杜甫,李適,2
王縉,王維,1
白居易,陳子昂,1
李賀,杜甫,1
崔日用,張說,1
柳宗元,馮延巳,1
元稹,魚玄機,1
劉禹錫,韓愈,1
元稹,和凝,1
錢起,皇甫冉,1
薛濤,劉禹錫,1
羅隱,鄭畋,1
姚合,鮑防,1
王昌齡,李紓,1
劉禹錫,李隆基,3
張籍,賈島,5
元稹,薛濤,2
司空圖,賀知章,1
李顯,馬懷素,1
劉禹錫,白行簡,2
杜甫,賈至,2
鄭澣,李德裕,2
李商隱,竇常,2
羅隱,魚玄機,1
韓愈,王涯,3
陸龜蒙,顧況,1
孟郊,王涯,2
司空圖,高適,1
張說,王縉,1
趙冬曦,張說,3
元稹,竇鞏,6
高適,楊汝士,1
錢起,王維,5
姚合,羅隱,1
白居易,裴度,14
楊巨源,杜甫,1
元稹,杜甫,1
竇常,鄭絪,1
錢起,舒元輿,1
李德裕,陳子昂,1
李忱,白居易,1
劉禹錫,岑參,1
元稹,李紳,1
皮日休,陳子昂,1
元稹,李華,3
高適,李逢吉,3
李隆基,張說,3
王昌齡,元結,1
劉禹錫,李程,4
杜荀鶴,岑參,1
張祜,姚崇,1
羅隱,李紓,1
王建,武元衡,1
張繼,顧況,1
王維,韋處厚,1
韓愈,杜甫,1
陸龜蒙,竇常,3
宋之問,王昌齡,1
羅隱,韋莊,1
李白,楊嗣復,3
韋莊,薛濤,1
杜甫,張繼,1
孫逖,皮日休,1
白居易,薛濤,1
王維,孟郊,1
張籍,王建,5
皇甫冉,王維,1
白居易,楊巨源,2
崔湜,韋嗣立,2
杜荀鶴,賈島,3
元稹,李德裕,1
羊士諤,王起,2
陸龜蒙,李隆基,2
岑參,竇常,1
韋莊,李白,3
姚合,竇常,2
姚合,張籍,3
岑參,張籍,1
李商隱,杜甫,3
姚合,裴度,2
竇常,裴度,1
駱賓王,盧照鄰,1
司空圖,王昌齡,1
丘為,張籍,1
牛僧孺,劉禹錫,3
歐陽詹,韓愈,1
姚合,賈島,12
元稹,李治,2
羊士諤,魚玄機,1
羅隱,和凝,1
杜牧,張說,1
張籍,孟郊,3
儲光羲,張說,1
駱賓王,張籍,1
皇甫冉,韋處厚,1
權德輿,鄭絪,1
韓愈,李世民,1
陸龜蒙,白居易,1
元稹,韋處厚,1
柳宗元,李世民,1
皮日休,陸龜蒙,124
高適,姚崇,3
宋之問,歐陽詹,1
張籍,韋嗣立,1
白居易,白行簡,3
韓愈,孟郊,21
儲光羲,鄭絪,2
皮日休,杜甫,2
王維,張籍,1
張繼,皇甫冉,2
羅隱,孟浩然,1
韋莊,張籍,2
錢起,劉禹錫,1
韋莊,魚玄機,1
崔泰之,張籍,1
杜牧,王建,1
張籍,白居易,4
丘為,皇甫冉,1
白居易,李隆基,2
張籍,姚合,2
岑參,鄭絪,1
杜甫,孟浩然,2
裴度,張籍,6
白居易,李華,4
武元衡,魚玄機,3
張九齡,陳子昂,1
杜甫,王維,1
李白,杜牧,1
蘇頲,張說,2
劉禹錫,薛濤,1
儲光羲,沈彬,1
羅隱,王昌齡,3
陸龜蒙,沈傳師,1
蕭穎士,沈傳師,1
崔泰之,韋嗣立,1
李華,蕭穎士,1
賈島,王建,4
杜甫,李白,12
陸龜蒙,杜甫,1
武元衡,王無競,1
杜牧,李白,2
高適,薛據,7
劉禹錫,呂溫,2
高適,李顯,1
韓愈,柳宗元,2
杜甫,李紳,2
宋之問,杜審言,2
李隆基,張籍,1
孟郊,竇常,2
白居易,皮日休,2
魚玄機,王勃,5
孟郊,張籍,3
杜甫,竇常,2
李白,李逢吉,5
司空圖,馮道,1
杜牧,張九齡,1
元稹,賀知章,1
張祜,賀知章,1
儲光羲,王勃,1
武元衡,楊嗣復,2
孟郊,李益,3
杜牧,張祜,5
白居易,王無競,1
李白,皮日休,1
王維,王勃,1
李賀,鄭絪,1
李紳,李隆基,1
錢起,李紓,1
李顯,薛稷,1
王建,李益,2
杜牧,趙冬曦,2
李商隱,孫逖,1
