Source,Target,Weight
白居易,王起,9
羅隱,杜甫,4
裴度,劉禹錫,10
賈島,姚合,6
劉禹錫,魚玄機,4
劉禹錫,牛僧孺,4
元稹,白居易,88
高適,李德裕,5
孟郊,韓愈,12
白居易,元稹,167
王維,丘為,4
白居易,李紳,17
杜甫,鄭澣,7
白居易,李顯,6
韓愈,李逢吉,5
白居易,楊汝士,16
權德輿,張籍,4
劉禹錫,白居易,91
白居易,劉禹錫,94
劉禹錫,柳宗元,5
劉禹錫,張籍,5
皇甫冉,馮道,4
白居易,牛僧孺,18
韓愈,張籍,17
元稹,李隆基,8
杜甫,岑參,5
白居易,楊嗣復,6
李白,孟浩然,5
賈島,張籍,4
張籍,韓愈,5
李白,竇常,4
張籍,賈島,5
元稹,竇鞏,6
錢起,王維,5
白居易,裴度,14
劉禹錫,李程,4
張籍,王建,5
姚合,賈島,12
皮日休,陸龜蒙,124
韓愈,孟郊,21
張籍,白居易,4
裴度,張籍,6
白居易,李華,4
賈島,王建,4
杜甫,李白,12
高適,薛據,7
魚玄機,王勃,5
李白,李逢吉,5
杜牧,張祜,5
杜甫,李世民,6
裴度,白居易,10
陸龜蒙,皮日休,202
儲光羲,張籍,5
柳宗元,劉禹錫,6
張祜,李隆基,4
孟浩然,王昌齡,4
姚合,王建,4
劉禹錫,裴度,11
王建,張籍,6
劉禹錫,元稹,12
儲光羲,王維,4
杜甫,王無競,4
元稹,楊巨源,5
白居易,張籍,14
羅隱,竇常,4
姚合,李白,7
賈島,韓愈,4
張籍,竇常,4
杜甫,高適,10
白居易,李逢吉,21
