Source,Target,Weight
李商隱,魚玄機,3
白居易,王起,9
羅隱,杜甫,4
羅隱,王建,3
白居易,韓愈,3
元稹,李顯,3
裴度,劉禹錫,10
賈島,姚合,6
劉禹錫,魚玄機,4
張祜,杜牧,3
劉禹錫,牛僧孺,4
元稹,劉禹錫,3
李白,杜甫,3
元稹,白居易,88
高適,李德裕,5
孟郊,韓愈,12
白居易,元稹,167
李白,王昌齡,3
王維,丘為,4
白居易,李紳,17
杜甫,鄭澣,7
白居易,李顯,6
駱賓王,宋之問,3
韓愈,李逢吉,5
白居易,楊汝士,16
權德輿,張籍,4
杜甫,張旭,3
劉禹錫,白居易,91
白居易,劉禹錫,94
劉禹錫,柳宗元,5
劉禹錫,張籍,5
劉禹錫,李逢吉,3
皇甫冉,馮道,4
白居易,牛僧孺,18
李白,趙璜,3
韓愈,張籍,17
元稹,李隆基,8
白居易,王昌齡,3
韓愈,李紳,3
李嶠,宋之問,3
杜甫,岑參,5
白居易,李世民,3
杜甫,李逢吉,3
白居易,楊嗣復,6
李白,孟浩然,5
賈島,張籍,4
張籍,韓愈,5
賈島,孟郊,3
李白,竇常,4
劉禹錫,李隆基,3
張籍,賈島,5
韓愈,王涯,3
趙冬曦,張說,3
元稹,竇鞏,6
錢起,王維,5
白居易,裴度,14
元稹,李華,3
高適,李逢吉,3
李隆基,張說,3
劉禹錫,李程,4
陸龜蒙,竇常,3
李白,楊嗣復,3
張籍,王建,5
杜荀鶴,賈島,3
韋莊,李白,3
姚合,張籍,3
李商隱,杜甫,3
牛僧孺,劉禹錫,3
姚合,賈島,12
張籍,孟郊,3
皮日休,陸龜蒙,124
高適,姚崇,3
白居易,白行簡,3
韓愈,孟郊,21
張籍,白居易,4
裴度,張籍,6
白居易,李華,4
武元衡,魚玄機,3
羅隱,王昌齡,3
賈島,王建,4
杜甫,李白,12
高適,薛據,7
魚玄機,王勃,5
孟郊,張籍,3
李白,李逢吉,5
孟郊,李益,3
杜牧,張祜,5
杜甫,李世民,6
裴度,白居易,10
杜甫,李隆基,3
陸龜蒙,皮日休,202
儲光羲,張籍,5
柳宗元,劉禹錫,6
張祜,李隆基,4
牛僧孺,白居易,3
孟浩然,王昌齡,4
姚合,王建,4
杜甫,薛據,3
李白,馮道,3
劉禹錫,裴度,11
白居易,馮道,3
王建,張籍,6
李商隱,杜牧,3
劉禹錫,元稹,12
杜甫,孟郊,3
李白,張旭,3
趙嘏,杜牧,3
杜牧,李商隱,3
儲光羲,王維,4
高適,宋之問,3
杜甫,王無競,4
元稹,楊巨源,5
元稹,王起,3
白居易,張籍,14
羅隱,竇常,4
姚合,李白,7
杜牧,趙嘏,3
賈島,韓愈,4
張籍,竇常,4
杜甫,高適,10
白居易,李逢吉,21
張說,趙冬曦,3
宋璟,張說,3
